Population Mid-2015,,,,,
,,,,,
Location,Location Type,TimeFrame,Data Type,Data,Footnotes
Afghanistan,Country,Mid-2015,Number,32247000,
Albania,Country,Mid-2015,Number,2892000,
Algeria,Country,Mid-2015,Number,39948000,
Andorra,Country,Mid-2015,Number,78000,
Angola,Country,Mid-2015,Number,25000000,
Antigua and Barbuda,Country,Mid-2015,Number,90000,
Argentina,Country,Mid-2015,Number,42426000,
Armenia,Country,Mid-2015,Number,3017106,
Australia,Country,Mid-2015,Number,23888000,
Austria,Country,Mid-2015,Number,8615955,
Azerbaijan,Country,Mid-2015,Number,9651000,
Bahamas,Country,Mid-2015,Number,377000,
Bahrain,Country,Mid-2015,Number,1412299,
Bangladesh,Country,Mid-2015,Number,160411000,
Barbados,Country,Mid-2015,Number,278000,
Belarus,Country,Mid-2015,Number,9524247,
Belgium,Country,Mid-2015,Number,11211064,
Belize,Country,Mid-2015,Number,368000,
Benin,Country,Mid-2015,Number,10583034,
Bhutan,Country,Mid-2015,Number,757000,
Bolivia,Country,Mid-2015,Number,10475500,
Bosnia-Herzegovina,Country,Mid-2015,Number,3650114,
Botswana,Country,Mid-2015,Number,2139900,
Brazil,Country,Mid-2015,Number,204519398,
Brunei,Country,Mid-2015,Number,413000,
Bulgaria,Country,Mid-2015,Number,7181000,
Burkina Faso,Country,Mid-2015,Number,18450400,
Burundi,Country,Mid-2015,Number,10742000,
Cambodia,Country,Mid-2015,Number,15417100,
Cameroon,Country,Mid-2015,Number,23739000,
Canada,Country,Mid-2015,Number,35833000,
Cape Verde,Country,Mid-2015,Number,514000,
Central African Republic,Country,Mid-2015,Number,5551900,
Chad,Country,Mid-2015,Number,13707000,
Channel Islands,Country,Mid-2015,Number,164000,
Chile,Country,Mid-2015,Number,18025000,
China,Country,Mid-2015,Number,1371920000,
Colombia,Country,Mid-2015,Number,48218000,
Comoros,Country,Mid-2015,Number,764000,
Congo,Country,Mid-2015,Number,4755000,
"Congo, Dem. Rep. of",Country,Mid-2015,Number,73340200,
Costa Rica,Country,Mid-2015,Number,4832000,
Cote d'Ivoire,Country,Mid-2015,Number,23281300,
Croatia,Country,Mid-2015,Number,4215000,
Cuba,Country,Mid-2015,Number,11139000,
Curacao,Country,Mid-2015,Number,158000,
Cyprus,Country,Mid-2015,Number,1153000,
Czech Republic,Country,Mid-2015,Number,10551227,
Denmark,Country,Mid-2015,Number,5676025,
Djibouti,Country,Mid-2015,Number,900000,
Dominica,Country,Mid-2015,Number,68000,
Dominican Republic,Country,Mid-2015,Number,10508000,
Ecuador,Country,Mid-2015,Number,16279000,
Egypt,Country,Mid-2015,Number,89074000,
El Salvador,Country,Mid-2015,Number,6366000,
Equatorial Guinea,Country,Mid-2015,Number,805000,
Eritrea,Country,Mid-2015,Number,5200000,
Estonia,Country,Mid-2015,Number,1310504,
Ethiopia,Country,Mid-2015,Number,98148000,
Federated States of Micronesia,Country,Mid-2015,Number,103000,
Fiji,Country,Mid-2015,Number,867000,
Finland,Country,Mid-2015,Number,5476031,
France,Country,Mid-2015,Number,64346720,
French Guiana,Country,Mid-2015,Number,251000,
French Polynesia,Country,Mid-2015,Number,263000,
Gabon,Country,Mid-2015,Number,1751000,
Gambia,Country,Mid-2015,Number,2021893,
Georgia,Country,Mid-2015,Number,3804000,
Germany,Country,Mid-2015,Number,81132000,
Ghana,Country,Mid-2015,Number,27672800,
Greece,Country,Mid-2015,Number,11520785,
